id,num_sentences,num_clusters,local_cohesion,num_concepts,num_coh_sentences,num_non_coh_sentences,num_relations,lsa_local,lsa_global,Flesch_Kincaid
10361162,2,2,0,6,0,1,4,0,0,12.839626865671645
10361181,7,3,0.5,21,3,3,70,0.2413690576368681,0.1094925409739788,6.664224270353303
10361182,11,7,0.2,12,2,8,6,0.14860929648932936,0.2383913679060801,3.5531649831649847
10361191,9,4,0.125,29,1,7,60,0.3021663508446994,0.33220381214127553,7.477229437229438
10361192,10,5,0.333333333333,9,3,6,4,0.2642540434178923,0.246682714189809,5.345646616541353
10361201,9,6,0.125,19,1,7,14,0.24645813971828215,0.1703572313898291,5.897333333333334
10361202,5,4,0.25,14,1,3,10,0.20286416295418008,0.15662180873357062,4.802545454545454
10361211,5,2,0.25,12,1,3,4,0.25,0.1,4.7791428571428565
10361212,5,4,0,13,0,4,6,0.627899101873433,0.5360383863204092,5.1314782608695655
10361221,7,3,0.5,24,3,3,218,0.45286465893511796,0.2854256704825902,5.874235588972434
10361222,2,1,1,13,1,0,17,0,0,11.559545454545455
10361231,8,6,0.142857142857,21,1,6,42,0.16715916171807668,0.11947823515866415,5.95590909090909
10361232,8,5,0.285714285714,15,2,5,12,0.11975560891378244,0.07187320394013653,5.469317226890757
10361241,5,1,0.5,21,2,2,93,0.23929488037589447,0.2395217498325362,6.83356989247312
10361242,2,1,0,9,0,1,2,0,0,12.703333333333335
10361251,8,4,0.285714285714,17,2,5,19,0.42675415165641983,0.21901137681192415,5.419545454545455
10361252,4,3,0.333333333333,10,1,2,13,0.10121892673361582,0.05060946336680791,4.555696721311476
10361261,10,3,0.444444444444,26,4,5,34,0.3128161499448854,0.23911465181163544,6.336588652482268
10361262,10,5,0,15,0,9,6,0.07950069737504258,0.14622723937334675,4.175758620689654
10361271,10,5,0,15,0,9,32,0,0.022222222222222227,4.695636363636366
10361272,4,2,0.333333333333,7,1,2,4,0.4196352468431179,0.5652549734489002,7.262379518072292
10361281,10,6,0.111111111111,29,1,8,45,0.08312713862009458,0.14593479551468064,6.702
10361282,8,5,0.285714285714,11,2,5,6,0.41642998210730425,0.492163734947082,2.844502688172044
10361291,8,5,0.285714285714,22,2,5,61,0.5714285714285714,0.35714285714285715,7.25419117647059
10361292,7,3,0.5,8,3,3,5,0.6414034882927545,0.31938824940412747,5.65359108781127
10361301,9,5,0.125,24,1,7,57,0.07319314921582266,0.07063576849682039,4.592222222222224
10361302,7,6,0.166666666667,11,1,5,4,0.1611527324221477,0.1727859644977393,4.483904761904766
10361311,6,2,0.4,10,2,3,6,0.1426013997369176,0.25592980698802875,3.5513636363636376
10361312,7,3,0.333333333333,16,2,4,11,0.603824411592209,0.2714747256900972,4.794285714285715
